"id","gen","sp","ssp","en","lat","lng","file","q","rec_length","species"
"305372","Melanerpes","aurifrons","","Golden-fronted Woodpecker",27.3178,-97.6797,"//www.xeno-canto.org/305372/download","A",12,"Melanerpes aurifrons"
"297554","Melanerpes","aurifrons","","Golden-fronted Woodpecker",26.5151,-99.1156,"//www.xeno-canto.org/297554/download","A",4,"Melanerpes aurifrons"
"285322","Melanerpes","aurifrons","","Golden-fronted Woodpecker",26.1762,-98.3862,"//www.xeno-canto.org/285322/download","A",137,"Melanerpes aurifrons"
"176147","Melanerpes","aurifrons","","Golden-fronted Woodpecker",28.4732,-98.2555,"//www.xeno-canto.org/176147/download","A",2,"Melanerpes aurifrons"
"143913","Melanerpes","aurifrons","","Golden-fronted Woodpecker",30.0091,-99.6917,"//www.xeno-canto.org/143913/download","A",9,"Melanerpes aurifrons"
"143912","Melanerpes","aurifrons","","Golden-fronted Woodpecker",30.0091,-99.6917,"//www.xeno-canto.org/143912/download","A",10,"Melanerpes aurifrons"
"143910","Melanerpes","aurifrons","","Golden-fronted Woodpecker",29.1823,-102.9595,"//www.xeno-canto.org/143910/download","A",35,"Melanerpes aurifrons"
"143907","Melanerpes","aurifrons","","Golden-fronted Woodpecker",29.1823,-102.9595,"//www.xeno-canto.org/143907/download","A",40,"Melanerpes aurifrons"
"143905","Melanerpes","aurifrons","","Golden-fronted Woodpecker",29.1823,-102.9595,"//www.xeno-canto.org/143905/download","A",5,"Melanerpes aurifrons"
"109195","Melanerpes","aurifrons","","Golden-fronted Woodpecker",29.1823,-102.9595,"//www.xeno-canto.org/109195/download","A",120,"Melanerpes aurifrons"
"109173","Melanerpes","aurifrons","","Golden-fronted Woodpecker",29.1823,-102.9595,"//www.xeno-canto.org/109173/download","A",9,"Melanerpes aurifrons"
"109172","Melanerpes","aurifrons","","Golden-fronted Woodpecker",29.137,-103.521,"//www.xeno-canto.org/109172/download","A",46,"Melanerpes aurifrons"
"21853","Melanerpes","aurifrons","","Golden-fronted Woodpecker",28.1137,-97.4228,"//www.xeno-canto.org/21853/download","A",4,"Melanerpes aurifrons"
"5773","Melanerpes","aurifrons","","Golden-fronted Woodpecker",26.1734,-98.3606,"//www.xeno-canto.org/5773/download","A",11,"Melanerpes aurifrons"
"507693","Pitangus","sulphuratus","","Great Kiskadee",26.2035,-97.4135,"//www.xeno-canto.org/507693/download","A",14,"Pitangus sulphuratus"
"453018","Pitangus","sulphuratus","","Great Kiskadee",26.5151,-99.1156,"//www.xeno-canto.org/453018/download","A",11,"Pitangus sulphuratus"
"452992","Pitangus","sulphuratus","","Great Kiskadee",26.5151,-99.1156,"//www.xeno-canto.org/452992/download","A",5,"Pitangus sulphuratus"
"440256","Pitangus","sulphuratus","","Great Kiskadee",28.2366,-96.861,"//www.xeno-canto.org/440256/download","A",35,"Pitangus sulphuratus"
"362279","Pitangus","sulphuratus","","Great Kiskadee",26.5151,-99.1156,"//www.xeno-canto.org/362279/download","A",134,"Pitangus sulphuratus"
"361496","Pitangus","sulphuratus","","Great Kiskadee",26.0737,-98.1442,"//www.xeno-canto.org/361496/download","A",19,"Pitangus sulphuratus"
"360954","Pitangus","sulphuratus","","Great Kiskadee",26.0737,-98.1442,"//www.xeno-canto.org/360954/download","A",18,"Pitangus sulphuratus"
"360953","Pitangus","sulphuratus","","Great Kiskadee",26.0737,-98.1442,"//www.xeno-canto.org/360953/download","A",92,"Pitangus sulphuratus"
"360732","Pitangus","sulphuratus","","Great Kiskadee",26.5151,-99.1156,"//www.xeno-canto.org/360732/download","A",7,"Pitangus sulphuratus"
"360723","Pitangus","sulphuratus","","Great Kiskadee",26.5151,-99.1156,"//www.xeno-canto.org/360723/download","A",19,"Pitangus sulphuratus"
"360719","Pitangus","sulphuratus","","Great Kiskadee",26.5151,-99.1156,"//www.xeno-canto.org/360719/download","A",20,"Pitangus sulphuratus"
"360625","Pitangus","sulphuratus","","Great Kiskadee",26.5151,-99.1156,"//www.xeno-canto.org/360625/download","A",12,"Pitangus sulphuratus"
