"id","gen","sp","ssp","en","lat","lng","file","q","rec_length","species"
"72506","Branta","canadensis","","Canada Goose",42.9039856060532,-88.3155899045232,"//www.xeno-canto.org/72506/download","A",35,"Branta canadensis"
"62259","Branta","canadensis","","Canada Goose",44.942,-93.259,"//www.xeno-canto.org/62259/download","A",37,"Branta canadensis"
"52324","Branta","canadensis","","Canada Goose",34.81,-87.321,"//www.xeno-canto.org/52324/download","A",22,"Branta canadensis"
"21970","Branta","canadensis","","Canada Goose",43.8556,-110.2645,"//www.xeno-canto.org/21970/download","A",13,"Branta canadensis"
"21786","Branta","canadensis","","Canada Goose",43.8714,-110.4781,"//www.xeno-canto.org/21786/download","A",57,"Branta canadensis"
"13795","Branta","canadensis","","Canada Goose",47.04079,-95.59253,"//www.xeno-canto.org/13795/download","A",41,"Branta canadensis"
"1136","Branta","canadensis","","Canada Goose",39.9337,-74.717,"//www.xeno-canto.org/1136/download","A",10,"Branta canadensis"
"467750","Branta","hutchinsii","","Cackling Goose",46.8441,-119.4536,"//www.xeno-canto.org/467750/download","A",37,"Branta hutchinsii"
"361080","Branta","hutchinsii","","Cackling Goose",40.6864,-124.2127,"//www.xeno-canto.org/361080/download","A",17,"Branta hutchinsii"
"320749","Branta","hutchinsii","hutchinsii","Cackling Goose",40.4203,-105.0938,"//www.xeno-canto.org/320749/download","A",5,"Branta hutchinsii"
"320748","Branta","hutchinsii","hutchinsii","Cackling Goose",40.4203,-105.0938,"//www.xeno-canto.org/320748/download","A",11,"Branta hutchinsii"
"301687","Branta","hutchinsii","hutchinsii","Cackling Goose",40.389,-105.0835,"//www.xeno-canto.org/301687/download","A",9,"Branta hutchinsii"
"295322","Branta","hutchinsii","hutchinsii","Cackling Goose",40.5543,-104.951,"//www.xeno-canto.org/295322/download","A",33,"Branta hutchinsii"
"144040","Branta","hutchinsii","leucopareia","Cackling Goose",40.6864,-124.2127,"//www.xeno-canto.org/144040/download","A",13,"Branta hutchinsii"
"144038","Branta","hutchinsii","leucopareia","Cackling Goose",40.6864,-124.2127,"//www.xeno-canto.org/144038/download","A",69,"Branta hutchinsii"
"144037","Branta","hutchinsii","leucopareia","Cackling Goose",40.6864,-124.2127,"//www.xeno-canto.org/144037/download","A",67,"Branta hutchinsii"
"113142","Branta","hutchinsii","taverneri","Cackling Goose",46.9459,-124.1499,"//www.xeno-canto.org/113142/download","A",16,"Branta hutchinsii"
"92019","Branta","hutchinsii","minima","Cackling Goose",45.682,-122.809,"//www.xeno-canto.org/92019/download","A",48,"Branta hutchinsii"
"92018","Branta","hutchinsii","minima","Cackling Goose",45.682,-122.809,"//www.xeno-canto.org/92018/download","A",74,"Branta hutchinsii"
"92017","Branta","hutchinsii","minima","Cackling Goose",45.792,-122.753,"//www.xeno-canto.org/92017/download","A",84,"Branta hutchinsii"
